Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
102393536157012,La patria con la 4T,Lidia Lopez Rodriguez,17246,8
496075770555516,Salamanca Municipio,Salamanca Municipio,17013,9
961310490582166,FeliFer Macías,Felipe Macías,16862,18
283653271758441,24 Morelos,24 CDMX,16857,116
1117222281664997,Gobierno Municipal de Chihuahua,Gobierno Municipal de Chihuahua,16841,12
102503386151965,El Wero,El Wero,16833,6
108950188713101,Memes Derechos Laborales,SUB Inteligencia de marca S de RL de CV,16826,55
186902431388373,Homero Niño de Rivera,Homero Niño de Rivera,16811,8
100236952935676,La Naranja Fosfo,La Naranja Fosfo,16619,18
101517436136014,Americasmobilityofthefuture,Marco Antonio Alvarez Cruz,16584,45
100802831514881,Claudia Rodríguez,Partido Verde Coahuila,16500,6
105533795460071,Norte Monrealista,Norte Monrealista,16485,2
115027021469288,Revista Transformación,Revista Transformación,16338,31
101212808784634,República 21,Rosa Eugenia Diaz Biones,16282,7
114370985304597,Gobierno del Estado de Tlaxcala,Gobierno del Estado de Tlaxcala,16276,56
101421899436787,Venta Directa SHCP,Andrea Acosta Romero,16271,3
787879741291643,Luis Mendoza Acevedo,Luis Alberto Mendoza Acevedo,16201,14
104683828731442,Diario Capital,Diario Capital,16184,6
130816463246126,Nortimex,Gerardo Soberanes,16087,8
111335258596893,Mandarina Noticias,Mandarina Noticias,16035,82
106763384981876,La Prensa Mx,Maria Elena Reyes Garcia,15942,4
259386257405548,Alejandra López Noriega,Alejandra Lopez Noriega,15926,22
104156442652500,Limbar Valdez,Partido Verde Coahuila,15765,6
116026754703659,CEDET Monterrey,CEDET Monterrey,15757,1
105922448818613,Mario Peraza,Mario Xavier Peraza Ramírez,15745,16
2358541921044793,El Diario - Norte,El Diario,15704,4
114814831508121,EdoMex al instante,EdoMex al instant,15634,9
710439142491735,Aldo Ruiz,Tintorama Digital,15459,27
102786396117647,Consolidemos la Transformación,Angelica Ledezma Estrada,15405,7
226699804054458,Juan Carlos Barragán Vélez,Juan Carlos Barragan Velez,15222,46
103824522682236,Sigamos La Transformación,Raymundo Morales,15196,8
394579937307087,Marybel Villegas Canché,Marybel Villegas Canché,15153,8
264060497093390,Shamir Fernández Hernández,Gabriel Francisco Pedro,15130,29
106702032385788,Abelardo Eagleston,Movimiento Ciudadano,15118,2
669306863144908,Alberto Esquer,Alberto Esquer,15095,22
240598816013949,Erick  Reyes,Erick Reyes,15052,10
104990037607651,Las Noticias - Durango,Las Noticias Durango,15000,2
103520535400756,Jorge Alberto Elias Retes,JORGE ALBERTO ELÍAS RETES,14994,31
1444189109132895,Rigo Mares,Rigo Mares,14961,8
195815320573612,elmomento.mx,elmomento.mx,14923,14
461361317209089,Elecciones Limpias EdoMex.,Elecciones Limpias Edoméx,14910,13
196705420663884,Código Magenta,Código Magenta,14863,35
338439980329802,Fiscalía General de Querétaro,Fiscalía General de Querétaro,14817,18
109941394793117,Pily De Aguinaga,Gabriel Francisco Pedro,14817,56
117194212331544,Edoméx Te Informa,Edomex Te Informa,14787,11
756397431107703,Omar Ortega Álvarez,Omar Ortega Álvarez,14688,16
111305214729439,Medio Central,Medio Central,14608,7
115543218144896,Diario El Mexicano,El Mexicano Diario,14581,31
111855765563350,INSK,These ads ran without a disclaimer,14569,2
463358453871269,JuanMa Munguía,JuanMa Munguía,14540,59
108199465164850,Resistencia Obradorista - Que Siga La Democracia,Resistencia Obradorista - Que Siga La Democracia,14464,21
392117881331459,José Flores,José Luis Flores Pacheco,14314,26
237316300021978,Erandi Bermúdez,Erandi Bermúdez,14294,5
116148341441527,Amlopolis 4T Y MAS,Mario Raul Samano Alvarado,14132,7
102886192659278,Nancy Cuevas Sanchez,MAD analytics,14059,14
104546498723247,Mauricio Cantú,Mauricio Cantú,14049,16
511703009188988,Azucena Cisneros Coss,Azucena Cisneros Coss,14034,5
663705357351016,Profe  Michel,Profe Luis Michel,14000,4
1522195418029530,Político MX,PolíticoMX,13930,12
100327629549678,Transformando con Claudia,Transformando con Claudia,13930,29
102491086147029,La 4T avanza,Maria Virginia Escalona Castro,13903,6
1700479090276216,Poligrama,Poligrama,13888,8
424355234683537,DebatesCiudadanos.MX,Confederación Patronal de la República Mexicana,13820,17
572887279531469,Román Alberto Cepeda,Román Alberto Cepeda,13805,37
630661037367142,Futuro,Futuro,13651,30
104745382187531,The Times Mexico,The Times Mexico,13507,4
277380886249639,ExxonMobil México,"ExxonMobil México, S. A. de C. V.",13461,34
104805888231365,Mexicano,"Editorial Kino, S.A. de C.V.",13459,9
164183347562623,Denuncia México,euthenics,13317,55
101069881617573,El Municipio,El Municipio Digital,13199,17
108867924581411,La Cuarta Noticias,La Cuarta Noticias,13186,62
129919903347839,Gina Marcos,MOVIMIENTO CIUDADANO,13064,3
543882089126145,Lalo Aguilar,Movimiento Ciudadano,12995,3
411235336284306,Empresarios por la Cuarta Transformación,"Empresarios 4T, Asociación Civil",12901,21
101532591996363,Neox México,Neox México,12868,55
400826360641681,Global Noticias,Tresa Publicidad,12866,6
107732841148576,Esteban Abraham Macari,Esteban Abraham Macari,12740,9
242333369437378,Rafael Leyva Pérez,Rafael Leyva Pérez,12708,8
637202699799385,Diputado González Romo,Ernesto González Romo,12697,10
27211034606,emlyon business school,These ads ran without a disclaimer,12692,1
