Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
1036346516378196,Nadir Yasuff,Nadir Yasuff,141785,23
713889935401156,Alejandra Arreguez,Frente de Izquierda,141308,5
110615099037597,Matías Stevanato,Matías Stevanato,140748,26
109258315464001,Valeria Lange,Valeria Lange Gurruchaga,140697,21
104638339157414,Partido Demócrata de  Córdoba Oficial,Partido Demócrata de Córdoba,140437,7
1847886358835128,Daniela Reich,Daniela Elizabeth Reich,140121,4
110933535302848,Salta Leaks,Salta Leaks,139999,4
818807098190442,Pablo Blanco,Graciela Emma Montani,139501,6
233734300112003,Juan Monteverde,Ciudad Futura,139266,14
106716278920168,Noticias Argentinas,Noticias Argentinas Web,139115,14
1452655481640639,Rodrigo Müller,Rodrigo Abelardo Muller,138927,7
160479460708484,Chuli Jorge,Chuli Jorge,138891,3
746371012137672,Adriana Cano,Adriana Cano,138662,31
1573583459600036,Legislatura de Córdoba,Legislatura de Córdoba,138566,20
129744574185800,Julián Amendolaggine,Julian Amendolaggine,138136,25
103565956013593,Miguel Ramos Intendente,Miguel Ramos Intendente,137898,20
90148244993,Patricia Bullrich,Pro Nacional,137163,15
1512924479004772,Martín Sereno,Martin Anibal Sereno,136365,15
1686478998295723,Pablo Villegas,Pablo Villegas,135657,11
277321356073164,Stella Maris Cordoba,Stella Maris Cordoba,135624,48
331933457269706,Luis Albeza,Luis Fernando Albeza,135543,22
234890990763613,Federico Fulini,Federico Fulini,135418,18
143717089625397,Malena Amerise,Malena Amerise,135388,196
628834470825985,Martín Olivero,Martin Olivero,135350,25
256803881073240,Gobierno de Salta,Gobierno de Salta,135206,9
1782770091995310,Mariano Castagnaro,Mariano Castagnaro,134697,10
129744574185800,Julián Amendolaggine,Julián Amendolaggine,133955,14
107029238090602,Rodolfo Tecchi,Jujuy tiene Futuro,133531,8
