Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
463509033710164,Walmart Chile Vivamos Mejor,These ads ran without a disclaimer,125198,2
518029991591379,Carlos Soto Alcalde,Carlos Ernesto Soto Gonzalez,123386,4
107781209280427,Bolsa de Santiago,Bolsa de Santiago,121012,2
504040153015857,Francesca MUÑOZ Diputada Distrito 20,Francesca Muñoz,120449,2
103116615387974,Jaime L. Community Manager,Jaime Adrian Lopez Rojas,119999,10
266574477169217,Ciudadano Videla Diputado,Elias Vaca Sanchez,119983,6
174471963010250,Gladys Acuña Rosales,Gladys Cristina Acuña Rosales,119886,7
254968451965503,Juan Valdes,Juan Valdes,118309,19
104224427947088,Circula el Plástico,Metrix,117472,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,116998,2
108613744354984,Aldo Valle Acevedo,Aldo Salvador Valle Acevedo,113376,3
104684192398328,Francisco Corral Macías,Gerard Henri Joffre Pavez,113188,9
111323908481002,Comando de voz,Mario Vilches Alcaíno,107784,11
110951722267366,World Vision Chile,World Vision Chile,106591,8
176220189240352,Postgrados UST,These ads ran without a disclaimer,105403,1
106088671518497,Agustín Iglesias Concejal Independencia,Agustin Ignacio Iglesias Munoz,103790,10
478976528820583,I. Municipalidad de La Granja,Brecha Digital Consultores Ltda.,102560,11
106425749109476,Pablo Pomareda,These ads ran without a disclaimer,102517,1
116098628081805,Gonzalo Yuseff Quirós,Gonzalo Yuseff Quirós,100992,19
855311658006240,Jorge Díaz Ibarra,Jorge Elias Gregorio Diaz Ibarra,100000,1
188894794930378,Diego Silva,Diego Silva,100000,2
100502525971325,Gustavo Dávila de la Gente,Samuel Guelfenbein,100000,2
119304731096183,Segundo Hojas,Segundo Hojas,100000,1
443368759396133,Diego Paco M.,Diego Paco,99995,6
378268262773056,Fundación Instituto Hernando De Magallanes,Patricia Alejandra Camelio Nazor,96441,1
110405624650830,Chile En La Encrucijada,Juan Antonio Montes Varas,94692,5
338067870178059,Fundación Instituto Vladimir Nazor,Patricia Alejandra Camelio Nazor,93996,1
317374934946185,AIEP,Instituto Profesional AIEP,92529,1
226593947367922,Cultiva,Cultiva,89873,1
154785904692548,SalmonChile,SalmonChile,85682,5
211965552717397,María José Gatica Bertin,María José Gatica Bertin,84124,4
100826904957145,Centro Científico Tecnológico Región de Antofagasta,CICITEM,84032,2
100920822361338,Jorge Sepúlveda Consejero Constitucional,Juan Carlos Reiman Antileo,84000,2
102019462029011,V más V,V más V,83413,7
1051257695025495,PacificBlu,PacificBlu,82611,2
212672485793114,Frank Sauerbaum,Frank Carlos Sauerbaum Muñoz,80004,9
108689020607707,Ricardo Cifuentes Lillo,Ricardo Cifuentes Lillo,80000,2
100537472438913,Futuro Madera,Futuro Madera,79280,7
1567607313249689,Cristobal Martinez Diputado,Cristián Rodríguez,77395,6
105257689166961,María de los Angeles López,María de los Angeles López,76771,7
119745536600190,Dr. Fernando Viveros,Dr. Fernando Viveros,75595,6
100495615365718,Kurt Hener a Consejero Constitucional,Kurt Armando Hener Perez,74998,5
405619349470647,Nuevo Horcones,These ads ran without a disclaimer,74023,1
541390972732127,Consejero Regional Rodrigo Vera,Rodrigo Vera Riquelme,71472,11
107151670642286,Al Aguaite Sin Censura,Maxi Agustin Soto Yañez,69281,9
746989695487487,"Maria Claudia Jorquera ""Consejera Constitucional"" E23",Luis Reveliño Alarcon Nuñez,69221,6
1642794332617927,Colegio de Cirujano Dentistas de Chile A.G.,Colegio de Cirujano Dentistas de Chile A.G.,68953,5
727274947350582,Diario Tierramarillano,Diario Tierramarillano,68121,17
311368549779237,Orizon,Orizon,67820,3
112863284811655,Partido Alianza Verde Popular,Partido Alianza Verde Popular,65975,4
1657924067839348,Aguas Antofagasta Grupo EPM,Aguas Antofagasta,65768,1
108523631002340,Loreta Villegas- Consejera Regional Aysen,Maria Loreta Villegas Almonacid,63454,18
113127473739015,UGM Postgrados,These ads ran without a disclaimer,62524,2
486113348433421,Ximena Ordenes Neira,Ximena Ordenes,62027,38
101180752297383,Gustavo Benavente Diputado,Gustavo Adolfo Alberto Benavente Vergara,59413,14
104088619284149,Felipe Calfunao Varas,Felipe Esteban Calfunao Varas,58765,4
107843817654667,Marcela Mansilla Potocnjak,Rodrigo Alejandro Niño Carrasco,58150,7
115204154820914,Consejero Constituyente Antofagasta Juan Moraga,Naomi Camila Paz Koo Mazuela,57932,5
259716460829991,LATAM Airlines,These ads ran without a disclaimer,56193,2
707104366003647,Javier Muñoz Riquelme,Javier Muñoz Riquelme,55000,2
105657022459205,Ricardo Núñez Muñoz,C&C comunicaciones estratégica SPA,54902,13
521470568061848,Maximiliano Ríos,Maximiliano Ríos Galleguillos,53853,2
