Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
455380911302186,ESU - Empresa para la Seguridad y Soluciones Urbanas,Esteban De Los Ríos,126746,5
122737502729878,Gobernación del Guainía,Gobernación del Guainía,126501,6
432247337149776,Javier Urbina,Javier Urbina,126255,2
388346274689191,Renier Darío Pachón,Renier Pachón,126050,4
110468084965933,Chapman Wilches,Chapman Wilches,123464,2
1535486953389914,Emerson Meneses Gonzalez,Emerson Meneses Gonzalez,122816,11
2062003780774481,Partido Liberal Sevilla,Partido Liberal Sevilla,122203,1
1078814898982272,Óscar Jahir Hernández Rugeles,Oscar Jahir Hernández Rugeles,121500,1
170276379775886,Instituto de Ciencia Política Hernán Echavarría Olózaga,Instituto de Ciencia Política Hernán Echavarría Olózaga (ICP),121500,5
101036275822842,Omar Gualteros,Agency Rockets,121280,2
102260352816985,Maribel Ortiz Olejua,Maribel Ortiz Olejua,120884,6
867258886990877,Jhonatan Correa M.,Jhonatan Correa Montoya,120116,5
1150942755027141,MMconsultor,MMconsultores,120000,3
1314470175266037,Liderazgo politico,Mauricio Florez-Morris,120000,1
581203269030846,Juan David Zuluaga,Juan David Zuluaga,120000,4
1319410371405224,Marketing Político,Mauricio Florez-Morris,119718,1
117966544591004,franciscoactivista,These ads ran without a disclaimer,119078,1
229025100447408,Carlos Alberto López,Carlos Alberto López,118430,6
102570162623873,tadeosilvalaw,These ads ran without a disclaimer,117255,1
103747879104580,Adair Lozano Osorio,Adair Lozano Osorio,115837,21
113142865041020,Eliana María Jaramillo Rodríguez,Eliana María Jaramillo Rodríguez,115660,4
116544396862942,Unión Legal y Tributaria S. A. S,Unión Legal y Tributaria S. A. S,115323,2
107218627285340,Raúl+ Positivo,These ads ran without a disclaimer,114590,4
369866297063101,Otoniel Rondón Márquez,Edgar Hernando Paez Aparicio,114498,2
407615769604377,Mutante,Fundación Mutante,114485,4
302325033574602,Oscar Orlando Rios Sanchez,Oscar Orlando Rios Sanchez,112000,3
114978211575157,Jorge Enrique Ramírez Pulgarin,Jorge Enrique Ramirez Pulgarin,111924,3
106422131485518,Harbey Hurtado Guerrero,Jose Harbey Hurtado Guerrero,109994,3
833347613398414,Oscar Campo,Juan Pablo Matta Casas,109990,4
103594381850234,"William Díaz ""pollito""",William Díaz Giraldo,109920,2
114317847146525,Alvaro Arias Velez,Alvaro Arias Velez,109742,5
387621548286709,Gustavo Gallego,Gustavo Adolfo Gallego Aristizabal,109323,1
1575034956110965,Ricardo Vallejo - Concejal de Roldanillo,Ricardo Vallejo - Concejal de Roldanillo,108024,1
570755026718448,Javier Rubio De corazón a corazón,Camilo Andres Monroy Pardo,107897,2
670081166403404,We Love Villavo,We Love Villavo,105999,2
1077639112424983,Tatiana Valeta Lambraño,Tatiana Valeta Lambraño,105843,7
108018298902067,Juan Guillermo Franco García,Juan Guillermo Franco García,105830,2
108977081439733,Maru Digitals,These ads ran without a disclaimer,105670,1
143677842632724,Alejandro Fúneme,Alejandro Fúneme,104759,2
104273241015976,Despegue marketing Digital,These ads ran without a disclaimer,104010,1
314979495294421,Milena Parra,These ads ran without a disclaimer,103586,3
1932128560179258,Luisa Fernanda,Luisa Fernanda,103451,2
582482202101372,Jeisson Fonseca,Jeisson Albeiro Fonseca Mesa,102635,1
308398253196220,Jorge Andrés,Digital Tech Ideas S.A.S,101231,1
101549488997249,Liliana Yúnez Luquetta,Fundación Política,100460,3
2176990602583797,El Politicón,El Politicón,100000,1
411935876243052,Christian Perez,Christian Perez,100000,1
1757189487920543,Subversite,Subversite,100000,1
769356313118755,Aportando al Cauca T.V,Gustavo Adolfo Guzman Vallejo,100000,1
333652197285167,Jorge Ramírez,Jorge Hernan Ramirez Barreto,100000,1
2068245743232990,Cesar Augusto Guzman,Cesar Augusto Guzman,100000,2
1659865967478999,David Farelo Daza,David Daza,99178,4
310013106138836,Harold Ardila,Pavel Eduardo Rodríguez Durango,98182,5
100234649131971,Yo soy,Juan Carlos Muñoz Diaz,97468,5
306667680053810,Álvaro Acevedo - Concejal de Bogotá,Alvaro Acevedo,97219,3
411471016347514,Concejal Esteban Gañan,John Esteban Gañan Ospina,97198,1
585354484854841,Milton Castrillón,Milton Castrillón,96767,13
