Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
176259372232788,Mecbur Değilsin,Mecbur Değilsin,136294,156
236716552856889,Bülent Nuri Çavuşoğlu,Bülent Nuri Çavuşoğlu,135964,63
164975634177844,Firdevs Cingözler,Firdevs Cingözler,135792,94
583038572138472,Çorum Kültür ve Turizm Derneği,Çorum Kültür ve Turizm Derneği,135700,6
280129325440416,Saadet Partisi İzmir,Saadet Partisi İzmir İl Başkanlığı,135688,253
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,135571,458
374583616640222,Serkan Baran,Serkan Baran,135430,142
1588940921122493,Dobra Haber,Dobra Haber,135220,11
123776787373345,Türkiye Haber,Türkiye Haber,134955,7
931947100188003,Nihat Çiftçi,Nihat Çiftçi,134423,28
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,134207,61
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,134115,7
258381460689886,Yılmaz Hocaoğlu,Yılmaz Hocaoğlu,133830,95
224515324083983,Veli Arslan,Veli Arslan,133523,79
223512440846907,Hülya Kavuzlu,Bağımsız İBB Başkan Adayı,133345,38
191902777500324,OTAG TV,OTAG TV,133074,97
197041050168534,Yüksel Yalçın,Yüksel Yalçın,133041,18
346006742126033,Bornova Belediyesi,Bornova Belediyesi,132712,336
107335345299398,TVNET X,TVNET X,132178,12
238260822697724,Kübra TEKEL AKTULUN,Kübra Tekel Aktulun,131919,121
220639677796315,Mehmet Uyanık,Mehmet Uyanık,131784,87
255216477892758,CHP Ankara İl Başkanlığı,Anıl Can Arslan,130232,55
1184514098319836,Türkçü Yazar,Türkçü Yazar,129467,9
197977693390293,Gonca Köksal,Gonca Köksal,128904,130
645088255518003,Vahap Seçer,Vahap Seçer,128866,144
338192240782851,Davut Gürkan,Davut Gürkan,128798,9
205755882624939,İstanbul Mecbur Değil,İstanbul Mecbur Değil,128383,30
