Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
478257172202137,STUDOMAT,STUDOMAT,156,3
765481950508007,Dr Amra Nadarević Vodenčarević,Amra Nadarevic Vodencarevic,154,13
107033215458488,Šejla Imamović,Šejla Imamović,154,12
1665818453645596,NES BIH-Gradska organizacija Bosanska Krupa,Midhad Arnautovic,152,8
1407894932868655,Omladinski Pokret Revolt,Omladinski pokret Revolt,152,11
191851397669230,VETO – Tierschutz,These ads ran without a disclaimer,152,3
102251318064432,Organon,These ads ran without a disclaimer,151,5
735935173184900,SNSD-СНСД Лакташи,СНСД ЛАКТАШИ,147,2
221052368305136,KO SDP BiH Unsko-sanskog kantona,Cybervision s.d.,146,5
2170728756520715,Tašo Dacić,Tašo Dacić,146,3
106681907871192,Esana Kavazbašić-Huskanović,Aleksandar Aničić,145,4
714290808591210,Milan Kovač,Milan Kovač,145,11
102469879226158,Podrška Ramizu Salkiću potpredsjedniku bh. entiteta Rs,Srebrenica.ba,144,17
105353892315789,Emir Begić - kandidat za Skupštinu TK,Emir Begic,144,9
807754219250501,Laburistička Stranka BiH,These ads ran without a disclaimer,142,1
106937677998846,Pravo na lijek,Pravo na lijek,142,4
102983492583289,Mladen Savić - Младен Савић,Wizard Media,141,1
375207849321582,Valerija Lakić,Sara Lakic,140,1
101298599426460,ManipuNacija,Alma Duraković,138,3
111192303752202,"Udruzenje ""Novi put""/Association ""Novi put""",These ads ran without a disclaimer,137,1
101392326082644,Mirjana Ćuk,Mirjana Ćuk,133,2
950914521589025,Ilda Alibegović,Nerman Talakic,131,20
102416722029565,"Innovate4Climate, I4C 2023",These ads ran without a disclaimer,130,8
1238173096287495,Azur Games,These ads ran without a disclaimer,130,12
109268238422012,Studio Bella,These ads ran without a disclaimer,129,5
102500518635499,ENTR en,These ads ran without a disclaimer,129,34
