Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
169884198143016,Pueblo Garabito,These ads ran without a disclaimer,642,4
9181619833,CES,These ads ran without a disclaimer,630,2
266790296879,Bloomberg,These ads ran without a disclaimer,630,7
319549428716940,Maria Luisa Lima,These ads ran without a disclaimer,615,2
184028364877,The Element,These ads ran without a disclaimer,595,1
149940008355432,CRV International,These ads ran without a disclaimer,595,1
119282537779946,Movimiento Sol de Libertad,These ads ran without a disclaimer,595,1
401226360314390,España Abogados,These ads ran without a disclaimer,595,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,595,1
100790446096988,De Esto No Se Habla,These ads ran without a disclaimer,591,1
105059544419306,Saskia Lane,These ads ran without a disclaimer,584,1
705181599539098,Clínica Deluxe,These ads ran without a disclaimer,583,1
103084408894407,Luis Mita Alban Diputado,These ads ran without a disclaimer,579,2
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,576,2
106425261238080,Lettera Hotel,These ads ran without a disclaimer,571,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,571,1
161538647202796,David Segura - Diputado,These ads ran without a disclaimer,564,1
113502287096979,I Luv Australia,These ads ran without a disclaimer,560,2
114777685207518,Viva - Latinoamérica y El Caribe,These ads ran without a disclaimer,546,3
113608008709874,Hotel Villa Real,These ads ran without a disclaimer,541,4
324253041382779,Xavier Cormier,These ads ran without a disclaimer,539,3
546635615537594,Ladatacuenta,These ads ran without a disclaimer,539,3
106261015307576,southtropic_pr,These ads ran without a disclaimer,539,1
181462009403764,Made AfroChic,These ads ran without a disclaimer,539,1
104238915656696,Kab_Z4,These ads ran without a disclaimer,539,1
111908196999634,moodvertising,These ads ran without a disclaimer,539,1
103439528566493,Urnas Abiertas,These ads ran without a disclaimer,539,2
100254824748185,Jensog-UK,These ads ran without a disclaimer,539,18
224043818346072,LEDS LAC,These ads ran without a disclaimer,539,4
521207401550287,Mati Talent Institute Private School-Homeschool & Gifted Education,These ads ran without a disclaimer,539,1
103792668678364,wakingupwithmelissa,These ads ran without a disclaimer,539,1
110906265860,The Andrew Schulz,These ads ran without a disclaimer,539,6
102047334642553,Financiera Monge,These ads ran without a disclaimer,539,1
694588307224013,Maritere Rodríguez Bellas,These ads ran without a disclaimer,539,1
100694966010922,USAenEspañol,These ads ran without a disclaimer,539,5
100959346070883,H_gottimetoday,These ads ran without a disclaimer,539,1
101128242614247,Dr. Rodolfo Brenes Vargas,These ads ran without a disclaimer,539,1
101090099546806,greenlybachue,These ads ran without a disclaimer,539,2
122019765121164,Plaza Mayor II Etapa,These ads ran without a disclaimer,539,1
101149012784429,Inmigración Pro,These ads ran without a disclaimer,539,1
