Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
106008797475136,Nicolás Verón,Gilberto Nicolas Veron Benitez,4413687,34
34839376970,Infobae,These ads ran without a disclaimer,4385834,11
102979595344085,Carlos Eduardo Ruiz,Carlos Eduardo Ruiz,4385251,57
450452264968054,Pedro González 2023,Pedro González Ramirez,4303435,13
107526424712957,Juan Grütter Concejal,canosys.com,4293050,6
461660720881072,José Rodríguez,José Reynaldo Rodriguez Fernandez,4280047,42
108914100607541,Ing. Gómez 2021,Maria Jose Castillo Vega,4278078,15
2271652869544024,"Ygnacio  ""Nacho"" Sánchez.",Ygnacio Daniel Sanchez Duarte,4268127,46
100265174952816,Cesarito Sosa,César Luis Sosa Fariña,4247098,157
106297212357807,José Colbes,José Colbes,4233189,30
1391426980934349,Arnaldo Barreto,Ricky Andreoni Acosta,4199413,38
782447735186010,Nelson Mora,Nelson Alcides Mora Peralta,4121580,5
107833595148374,Diputado José Rodríguez 2023 - 2028,Diputado José Rodríguez 2023 - 2028,4095903,64
101209788723937,Dr. Omar Gonzalez,Douglas Mateus Hendges,4094136,60
104369061660322,Diputada Pilar Abente,Ma Del Pilar Abente Lahaye,4068765,20
299639467402252,Roberto Ramirez,Roberto Ricardo Ramirez Chaparro,4058530,50
101937712167874,Sergio Rojas,Juan Bautista Lujan,4055523,15
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,3974847,26
294693311318315,Miguel González Senador,Miguel González Senador,3953761,13
106053418906619,Sole Blanco,PautaPY,3951963,10
114574908102864,Alianza VAMOS Por Boquerón,Alianza Vamos Por Boquerón,3939612,25
110382581891524,Hugo Biedermann,Biedermann Publicidad S.A.,3910211,4
100777148341766,Oscar Salomón,Felipe Sebartian Salomon Casola,3899386,9
107587622053186,Dra. Vivian Santander 2023,Santander Santander Clinica,3899051,27
100223835693365,Juanvi Fernández,Juanvi Fernández,3891902,9
543009152823138,Tio Enri,Tio Enri,3849901,23
643616402467930,Teresita O'Hara,Social Eagle,3848519,24
103818209055710,José Sánchez,IMAGEN DE GOBIERNO,3835582,32
105031404894363,Carlos Mercado Rotela,Daniel Elieser Mariño Suarez,3830694,44
2159690501026770,Jesus Lara,Jesus Lara Oficial,3824189,34
107956328706667,Sary Helman Diputada,Fabiana Marlene Cañete Helman,3799988,32
119781379416876,Oscar González - Oscar Café,Miguel Acosta Benitez,3779507,34
110054574481783,Dignidad y Renovación,Cesar Joel Godoy Rojas,3779140,16
594511160567719,UNFPA Paraguay,Fondo de Población de las Naciones Unidas,3767152,45
103101412549808,Ale De Filippis,Ale De Filippis,3761001,9
106506085341990,Raúl Portillo,Rodney Zorrilla Ortiz,3756245,67
105344591888925,Dahiana Vera - Concejal Municipal,Francisco Miguel Cuenca Armoa,3748144,37
105230917656306,Diego Medina Solis,SM realizaciones,3738813,25
111941744627764,Jorge Ayala,Jorge Miguel Ayala Lopez,3732325,11
728191990526103,Nelson Espinola,Nelson Espinola,3730341,44
309537729651941,JuanMa Brunetti,Vanessa Cabrera Pinzon,3689855,16
1805213113063004,Angel Marquez,Angel David Marquez Ortiz,3674858,39
158714780827513,UNFPA,UNFPA,3657400,235
104007547698706,Misael Fariña,Misael Fariña Villalba,3624790,51
117354424626075,Leticia Ocampos,Leticia Ocampos,3620421,5
114061877001545,Víctor Pecci,Esencia News SA,3582571,12
105864558115953,Rossana Gomez,William Chase,3582491,40
235526436573168,Ing. Eche Tu Diputado,Adalberto Pastor Echeverría Villasboa,3559560,29
233343823850830,Juan Afara - Oficial,Juan Afara - Oficial,3558758,4
1593908204188878,Arq. Carlos López,Claudio Raul Pezoa Ferreira,3550638,57
333301118062984,Edu Rebruk,Eduardo David Rebruk Stolaruk,3547936,21
105930287530970,Guido Martínez 2022,Guido Rene Martinez Peralta,3547519,30
111410464497400,Orgullo Liberal,Liberales Paraguay,3545493,13
106830504908345,Ana Paula Rojas,Ana Paula Rojas,3539537,10
103898281762511,Stefania Garay,Stefania Raquel Garay Trinidad,3536602,68
100423178893456,Grambo Gonzalez,Juan Carlos Gonzalez Caballero,3529855,11
1408670452551206,Rodrigo Gamarra,Rodrigo Daniel Gamarra Krayacich,3499668,6
172716740052498,Carlos Saldívar,Diego Saldívar,3497466,9
100593655481459,Carlos Franco,CARLOS FRANCO BENITEZ,3490765,116
102137945346781,Movimiento Ciudadanía Activa,Movimiento Ciudadanía Activa,3475463,18
756105494544668,Tami Paredes Reichert,Tamara Fabiola Paredes Reichert,3440364,10
