Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
1393690480686613,RevComm Inc.,These ads ran without a disclaimer,256242,12
104543444961996,くまがい俊人サポーターズ,熊谷俊人総合事務所,254982,30
376719326294027,Graey,These ads ran without a disclaimer,254391,1
163158750455360,"総合地球環境学研究所（地球研 / RIHN, Research Institute for Humanity and Nature）",These ads ran without a disclaimer,254063,1
191494104245435,Delegation of the European Union to Japan,Rob Van Nylen,252480,60
115063960341846,伊吹 健,健 伊吹,252255,5
340404476405384,衆議院議員みやかわ伸,Shin Miyakawa,252052,10
101094292847537,＆Co.,&Co.,250000,8
100514849660851,三重県選挙管理委員会,三重県選挙管理委員会,250000,1
102715015957377,東国原英夫,東国原英夫事務所,249665,2
107529227979030,日本の大戦略,株式会社リアルインサイト,249262,47
194452347644165,Biz Life Style online-関西,These ads ran without a disclaimer,249251,2
1671853216366712,東こう史ひろ,東猴史紘,248100,50
237621741542989,実践型財務戦略アカデミー「布井塾」,These ads ran without a disclaimer,246862,15
112389614831287,福井県明るい選挙推進協議会,福井県選挙管理委員会,245000,4
171377779554846,スポーツ専門TV局 J SPORTS,These ads ran without a disclaimer,245000,1
103424785737052,北海道選挙管理委員会,北海道選挙管理委員会,244984,15
853050658125901,マイリノ,These ads ran without a disclaimer,241679,1
112248140150001,HEBEL HAUS,These ads ran without a disclaimer,240312,22
213258615356595,集英社インターナショナル,集英社インターナショナル,240000,1
111624492277972,JCI Niigata 一般社団法人 新潟青年会議所,These ads ran without a disclaimer,240000,1
293966599080829,広島県知事選挙2021,広島県選挙管理委員会事務局,239975,8
418866171492742,株式会社Legaseed,These ads ran without a disclaimer,236618,13
107313352292674,栄ひろみ,栄ひろみ事務所,236517,42
482103555862015,株式会社Another works,These ads ran without a disclaimer,236474,2
108463998371775,選挙対策アプリ-Sentai-,株式会社ALL LINKAGE,233730,13
223167801028688,Chatwork,These ads ran without a disclaimer,233030,8
630291680756326,川崎市選挙管理委員会事務局,川崎市選挙管理委員会事務局,232559,12
185093341699735,洋々,These ads ran without a disclaimer,232390,2
196130093764828,The Headline,株式会社リバースタジオ,230292,13
1155495767888926,鳥居こうすけ　［東京都議会議員／杉並区選出］,こうすけ 鳥居,229063,3
104402171457559,エン 社長候補,Takayuki Endo,227754,6
952696481582936,LITALICOライフ,These ads ran without a disclaimer,224551,1
113522950186974,女の秘密,These ads ran without a disclaimer,223715,7
189704924552265,井林たつのり（衆議院議員）,Tatsunori Ibayashi,223489,14
109599860807861,Kokuyo furniture / コクヨ,These ads ran without a disclaimer,223125,1
361961963894878,東京都議会議員小山くにひこ,Kunihiko Koyama,221765,13
