Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
113555862534,SF Ungdom,SF Ungdom,110009,230
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,109809,43
174887643104,Sisse Marie Welling,SF København,109303,184
106737299409142,Folkemødet,Foreningen Folkemødet,109302,86
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,108850,31
454724341400431,Grundfos,Grundfos,108832,43
167891603415958,Lederne,These ads ran without a disclaimer,108325,57
229347797233832,Brigitte Klintskov Jerkel Politiker,Jerkel Brigitte Klintskov,106832,272
111012618953788,Global Entrepreneurship Week Denmark,Dansk Iværksætter Forening,106563,9
560844343928942,Philadelphia Danmark,Mondelez Danmark,106251,3
56810821434,HK Privat,HK Privat,106185,321
377875712247089,Thomas Kastrup-Larsen,Socialdemokratiet Aalborg Kommune,106047,38
1282577791766364,Kirsten Normann Andersen,SF,105079,218
108519202233910,Asser Mortensen,Asser Mortensen,103939,79
36730930417,Margrete Auken,SF,103341,58
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,103321,113
106678798277080,Lotte Friis Böing,Lotte Simone Emilie Friis Böing,103241,51
1443657599057803,Niels Martin Viuff,Niels Martin Viuff,103004,91
100452371679699,Øropa - Dit indblik i EU,Enhedslisten,102946,22
1452133531486822,Ali Aminali,Det Konservative Folkeparti,102713,18
159000594147871,Mary Fonden,Mary Fonden,102653,53
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,101816,192
1956719637909855,Kristian Pihl Lorentzen,Lorentzen Kristian Pihl,101611,138
531761723507375,Kristian Thulesen Dahl,Dansk Folkeparti,101592,61
106118147843145,CO2HERO,CO2HERO,100762,233
181330585392156,Skattestyrelsen,Skattestyrelsen,100626,60
334318366655425,Meta,Facebook,100355,4
114291387947420,Forsvarsforbeholdet.dk,The Brand Agency,100000,9
106185013241,GirlTalk,GirlTalk,100000,7
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,99782,91
106468772046278,Project Greensand,Project Greensand,99697,33
20303574131,Nationalmuseet,Nationalmuseet,99600,191
111095867334448,Rent Hav,Rent Øresund,99315,55
108099197264611,VoksenVaccination,MSD Danmark,98899,38
529124290474705,Nikolaj Villumsen,Nikolaj Villumsen,98507,36
880444655649267,Rasmus Steenberger,Steenberger Rasmus Rune,98247,357
1866357980295379,AkademikerPension,MP Pension,97609,16
7288041650,Højskolerne,Højskolerne.dk,97555,102
105452445239833,Ole Gade i Folketinget,Ole Gade,97416,173
1298856470219684,Danske Regioner,Danske Regioner,97181,13
142316415896803,Simon Kollerup,Socialdemokratiet - Simon Kollerup,97016,57
309867232515766,Mette Abildgaard,Mette Abildgaard,96429,83
1477361382543402,Merete Scheelsbeck,Scheelsbeck Merete Elizabeth,96319,179
336333896418452,Assens Kommune,Assens Kommune,96282,729
61055003519,Ekstra Bladet,Ekstra Bladet,96112,7
141140922630894,RED Center,RED Center,95726,39
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,95597,281
106140365096197,Michael Hertz,Michael Hertz,94936,15
699619700116377,Sophie Løhde,Sophie Løhde,94647,91
389665107805619,Michael Aastrup Jensen,Jensen Michael Aastrup,94501,247
10558703166,Ibyen,Politiken,93338,28
638113892944657,Jan Bigum Warming,Jan Warming,92215,102
141378109375840,Bergur Løkke Rasmussen,"European Parliament, Renew Europe Group, Bergur Løkke Rasmussen, Rue Wiertz 60, 1047 Brussels, Belgium",91332,19
106908955486176,"Ulrik Knudsen - Folketingskandidat, Danmarksdemokraterne",Casper Theilgaard,91063,30
623315704356818,Jacob Bundsgaard,Jacob Bundsgaard,90808,38
611866328824046,Socialpædagogerne,Socialpædagogerne,90761,188
65873757126,Spies Rejser,Spies Rejser,90270,30
386305466118,A4,A4 Medier,89665,149
292747071132513,True Gum,True Gum,89575,7
242091299473046,Marie Bjerre,Marie Bjerre,89503,26
313024569028540,Mino Danmark,Mino Danmark,89320,175
367522986719919,Gastech-Energi,Gastech-Energi A/S,89086,47
331034483992282,Nick Zimmermann - Dansk Folkeparti,Zimmermann Nick,89040,304
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,88978,97
190576781304993,Realdania,These ads ran without a disclaimer,88978,83
134531969945616,Folkebevægelsen mod EU,Folkebevægelsen mod EU,88542,66
103778941848389,Skanderborg LIV,SkanderborgLIV,88082,66
105742569457505,Volvo Car Danmark,Volvo Car Danmark,87641,20
112664272109384,Skagenfood,These ads ran without a disclaimer,87457,16
350242375125258,Signe Munk,SF,87163,147
13101847271,SAXO.com,Saxo,86284,98
256754327854276,Jacob Jensen,Jacob Jensen,86273,153
110560691837684,SolCompagniet,SolCompagniet,86208,26
657491824390744,Spring Copenhagen,Claus Nielsen,86045,170
30196574028,Serdal Benli,Serdal Benli,85664,119
100952085083394,Fremtidens Bæredygtige Landskaber,Fremtidens Bæredygtige Landskaber,85013,6
622795374413773,Venstre i Favrskov,Venstre i Favrskov Kommune,84917,231
544656725708011,Koncenton,Koncenton A/S,84876,154
194452460650048,Global Aktion,Global Aktion,84721,344
244871092312171,Danske Handicaporganisationer,Danske Handicaporganisationer,84230,166
122577072476986,Amalo,These ads ran without a disclaimer,84189,46
103043358684459,Mikkel Højsleth - Byrådsmedlem,Mikkel Højsleth,83931,82
501988406489752,Region Sjælland,Region Sjælland,83900,59
311398977614,Ben & Jerry's,Ben & Jerry's,83593,29
2047554945456852,Climaider,RenSti,83582,188
127374293943963,HK HANDEL,HK HANDEL,83467,127
106118147843145,CO2HERO,CO2HERO ApS,82947,126
141531689719,Dansk Sygeplejeråd,Dansk Sygeplejeråd,82879,39
223690937691260,Falck Danmark,These ads ran without a disclaimer,81868,14
104987479553992,Global Contact,Global Contact,80997,38
1407237706021123,Anne Skau Styrishave,Styrishave Anne Skau,80790,173
390925417751473,Erling Bonnesen,Bonnesen Erling Faber,80530,208
