Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
100146388419108,Alfredo Codocedo Maggi Concejal Osorno 2021,Alfredo Alejandro Codocedo Maggi,520136,41
104356661702855,Patricio Young Constituyente,Patricio Young,519991,14
11317582410,El Repuertero,MiVoz.cl,519751,452
788739931180358,Red Magallanes,Diarios En Red,519374,36
100447621996066,María José Gormaz Aravena Constituyente - Distrito 20,María José Gormaz Aravena,518986,13
488008574616542,George Bordachar,George Bordachar,518330,141
121163808523524,Julio Ibarra,Julio Ivan Ibarra Maripangue,518228,8
151409035069156,Danilo Sandoval,These ads ran without a disclaimer,518192,56
100571905359593,Paola Peña Marín,Paola Ximena Peña Marin,518053,51
110037351254717,EncuentrosxChile,La Fabrica Imaginaria,517777,33
103392411881913,Pablo Vidal Diputado,Pablo Esteban Vidal Rojas,515206,131
300345197052910,Pablo Gutierrez Consejero Regional,Pablo Gutierrez Consejero Regional,514999,143
106405161058714,ATI Coquimbo - Oficial,These ads ran without a disclaimer,514548,22
1180533235290025,Frutisa Chile,Creamedia,514042,7
346774856363471,Iván Paul,Iván Renato Paul Espinoza,513996,27
414606738661264,Universidades Estatales de Chile,Consorcio de Universidades del Estado de Chile,513308,12
362928730916522,Nelson Rondón,Nelson Jesús Rondón González,513232,83
152313415112492,UPA Unión Patriótica,Partido Unión Patriótica,512498,14
104951737952015,Pfizer Chile,These ads ran without a disclaimer,511734,3
105131398284987,Diego Espinoza Concejal Independiente por Providencia,Diego Espinoza Chacoff,511667,22
928346003878940,Abogado Mario Schmeisser,Mario Schmeisser,511316,12
2065057640464154,Matías Irarrázabal #Limache,Iván Matías Irarrázabal Gutiérrez,511206,12
102599204484233,Concejalia Mauricio Aguilar 2021,Mauricio Iván Aguilar Debenedetti,511000,15
108008248880502,Gloria Paredes Diaz,Gloria Paredes Diaz,510835,27
109254434940727,"No da lo mismo, Vota Kast",Jorge Luis Andres Hermosilla Torres,510000,18
653712998422159,Comunidad del Nuevo Centro,Fundación Chile Primero,509959,2
103703291645800,Janis Meneses Constituyente. Distrito 6,Janis Meneses Palma,509705,24
226615197424642,Carlos Sepúlveda Sanzana,Carlos Sepúlveda,509593,44
201179280058809,CCU,CCU,509592,1
1578671095739550,Juan De Dios Parra Sepúlveda,Juan De Dios Parra,508918,193
101193235299835,Cristóbal Palma - Tu voz en la Muni,Cristobal Andres Palma Marchant,508913,26
101057705244456,Fabian Muñoz Diaz,Fabian Muñoz,508189,38
101180752297383,Gustavo Benavente Diputado,Gustavo Benavente Diputado,507836,173
1952461128409136,Antofagasta es Chile,Eslayne Barraza,507786,42
101016612338955,Maria Valeria Ponti Rissetti,Maria Valeria Ponti Rissetti,507721,10
110390070348499,Viviana Delgado Diputada Ambientalista,Marco Antonio Soto Bobadilla,506925,17
106570847814998,Jeanette Bruna Abogada,Ariel Del Carmen Gardaix Gardaix,505828,17
1068931326573778,Michelle Peutat Constituyente,Michelle Fernanda Peutat Alvarado,505597,16
559184860928790,Pablo Contreras Cortinez,Pablo Andres Contreras Cortinez,505139,26
253995911129699,Nexy,Nexy spa,504548,47
1007722812755699,Avila & Asociados Cristopher Cuevas,Avila & Asociados SPA,504413,2
102958251865466,Katherina Hidalgo Constituyente,Katherina Elisabeth Hidalgo Campos,504285,5
546199969668088,Fran Malbec Concejala,Fran Malbec Concejala,503997,21
111185858055760,Chile Se Levanta,Chile Se Levanta,503946,5
167878593236712,UNICEF en español,UNICEF,503710,77
101135191964841,Camila Monckeberg - Concejala por Lo Barnechea,Camila Mönckeberg,503157,11
103226902447875,Tram cat,These ads ran without a disclaimer,502626,2
944035242325673,Radio Nuevo Mundo Red Nacional de Emisoras,Radio Nuevo Mundo,502385,19
105188241294003,Jaime Ahumada #cambiemospapudo,Jaime Marcelo Ahumada Robles,502348,87
828824877186298,Andrés Pérez Muñoz,Óscar Andrés Pérez Muñoz,502149,24
109528705408416,Eduardo Castro Ríos - Consejero Constitucional,Giovanni Riffo,502096,48
104648981195021,The Oxygen Project ES,These ads ran without a disclaimer,502017,8
101696364900178,Fundación Chile Primero,These ads ran without a disclaimer,501889,10
864084647051102,Marcelo Barraza Vivar 2021,Marcelo Augusto Barraza Vivar,501017,18
142600307694173,Carolina Garate Diputada Distrito 10,CAROLINA ANGELA GÁRATE VERGARA,500948,6
209448929103954,Ministerio de Educación,These ads ran without a disclaimer,500937,8
111095967384200,Gerardo Magaña Aravena,Carolina Lorena Gutierrez Gallardo,500821,81
604742389649107,Seekers Notes,These ads ran without a disclaimer,500501,11
101538244853490,Austral Noticias,Temuco YA,500000,15
583194288451920,Compañía Minera del Pacífico,Compañía Minera del Pacífico,500000,2
100886784904003,Patagonia al día,Temuco YA,500000,15
378268262773056,Fundación Instituto Hernando De Magallanes,Fundación Instituto Hernando De Magallanes,500000,2
102639852272696,El Papayo de Coquimbo,Temuco YA,500000,11
105215444894203,Kevin Bustamante,Kevin Bustamante Álamos,500000,32
110176778172362,Conce Ahora,Temuco YA,500000,15
102846765103176,"Paulina Basualto, unidxs por Providencia.",Paulina Alejandra Basualto Morales,499863,14
105412341583779,Roberto Soto Alballay,Gerard Henri Joffre Pavez,499734,14
101197205623305,Paulina Bravo Guzman,Paulina Teresa Bravo Guzmán,499609,32
276716425772041,Pedro Fernández Chávarri,Lucinda Media,499388,4
119905321044704,Jose Antonio Jerez Constituyente Araucanía D22,Jose Antonio Jerez Constituyente Araucanía D22,499354,6
1816383025292332,Catalina Pérez Diputada,Catalina Pérez Diputada,498810,15
1894986714054334,Marcelo Pereira Peralta,Marcelo Alejandro Pereira Peralta,498680,22
101025578556251,Creadores de Arte y Cultura,Creadores de Arte y Cultura,498126,19
106629674172302,Avila & Asociados Maria Correa,Avila & Asociados,498084,7
115927296999846,Mónica Miranda Concejal,Monica Miranda,497876,73
265222785325506,"Abraham Larrondo Senador, SOMOS MAS Lo Vamos a Demostrar.",Abraham Gonzalo Larrondo Vega,497548,7
356808844426,El Martutino,MiVoz.cl,497347,369
103236711784641,Silvia Muñoz,Mauricio Paredes,497146,18
112212730922956,Cristián Guerrero Concejal,Cristian Alejandro Guerrero Yañez,497118,19
266574477169217,Ciudadano Videla Diputado,Olevi&veragua,496925,56
105395958311829,Todos con Ancud - Aliro Caimapo,Saul Alberto Ruiz Valdivia,496636,19
100934831915819,Cristián del Canto,Cristian Pablo Del Canto Quiroga,496545,26
703495729859581,Gurovich Constituyente,Gabriel Gurovich Steiner,496300,23
105766605793061,Kinturay Melin Rapiman,Kinturay Melin Rapiman,495940,33
105216102185508,Cvr_abogados,Cvr_abogados,495806,6
101699841911393,Juan Antonio Moreno  dirigente nacional CUT Chile,Juan Moreno Gamboa,495699,49
1844662035793976,Diputado Mauro González Villarroel,Diputado Mauro González Villarroel,495560,47
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,495359,133
107952807770650,Felipe Sepúlveda Lepe,Felipe Sepulveda,494724,6
448985588623383,Amelia Herrera,María Amelia Herrera Silva,494384,22
100517658598751,Manuel González Barrera servidor publico,Gestionador De Servicios - Publicidad,493980,14
1912380229046407,Francisco Gonzalez Rivas,Francisco Javier González Rivas,493786,31
103190368459423,Scarlett Valdés Pizarro,Scarlett Beatriz Valdés Pizarro,493562,115
101165425399412,José Osvaldo Zuñiga Consejero Constitucional Ñuble,José Osvaldo Zuñiga Pino,492749,30
104505165319548,Navarrete Diputado,Marcos Navarrete Guerin,492690,18
105475060826347,Patricio Cerda Viña del Mar,Patricio Osvaldo Cerda Adaro,490740,35
78617029137,Greenpeace Chile,These ads ran without a disclaimer,490732,8
1930613963818983,Daniel Vargas,La Izquierda Diario Chile,490645,20
804997446264798,Chic Me,These ads ran without a disclaimer,490353,1
