Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
102383441183489,Real Life,Alwynn Santos Dumalde,239644,1366
102283125567766,Tutok To Win Party-List,Walter De Vera Stevens,238753,20
318778405444323,Bantay Epal,Pauline Santos Kuna,238417,31
1617505185169533,Edgar Labella Supporters,Floro Jr Quimque Casas,238345,57
101323742332636,Para sa Digos City Ospital ng Bayan,Bitnull Computing Corp,236353,23
817210681624554,MEAT DEPOT,These ads ran without a disclaimer,236107,10
103001005412518,Pandayan Kalookan,Pandayan Kalookan,235982,25
107853288892129,Don Artes,Friends of Don Artes,234945,24
116126099823448,Lelgit,Social Media Boosting,234174,80
263574640376933,Philippine Legislators' Committee on Population and Development,PLCPD,233805,209
287683225711,UN Environment Programme,These ads ran without a disclaimer,233414,53
1800060156967104,Pili City,Erin Magsayo Vargas,233181,24
105232908818779,Luigi Villafuerte Kami,Ericka Jones Magat,231363,9
48688071399,Greenpeace Philippines,Greenpeace Philippines,231020,68
872600662868426,Dyosa,Clutch Media,230587,17
1485006188181879,WES Gatchalian,WES Gatchalian,229645,61
366242537363874,JaMill Unofficial,PBJ Mediaworks,225839,14
1302152833164930,Fox Entertainment,Social Media Boosting,225531,80
102390902284289,Ilocos Norte for Leni & Kiko Volunteers,Dapat si Leni,225400,1
128057147245421,San Mig Light,San Mig Light,225363,7
100762828016059,Pulsong Pinoy,Alwynn Santos Dumalde,223911,1297
106467400810139,Alagang Sol Aragones On The Go,Alagang Sol Aragones On The Gob,220711,134
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,219870,5
