Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
115818466493164,Ouch,These ads ran without a disclaimer,1408,8
276015381058,"Ministry of Defence, Singapore (MINDEF)","Ministry of Defence, Singapore (MINDEF)",1400,2
334966356582645,Lithan Singapore,These ads ran without a disclaimer,1398,7
1390167454533944,PA Courses,These ads ran without a disclaimer,1391,1
138615119567871,Workforce Singapore - WSG,These ads ran without a disclaimer,1389,6
261967540970019,Homes & Hearts,Ong Han Yang,1375,49
102741461946181,一念逍遙,These ads ran without a disclaimer,1372,4
1944472599140323,Asmara.sg,Ramesh S/O Kumar,1366,23
219541704832846,National Reading Movement,These ads ran without a disclaimer,1364,6
224288277610656,NParks,These ads ran without a disclaimer,1349,9
889066587774688,Harmony Circles,These ads ran without a disclaimer,1346,5
101837288924546,Muslimi,These ads ran without a disclaimer,1346,107
914308758610812,Daniel Loh,These ads ran without a disclaimer,1337,5
319730025448728,TOGETHERBAND,These ads ran without a disclaimer,1335,28
105809291936456,HomeHub SG,Pang Ying Chiu,1324,334
108549254799382,Reflections at Bukit Chandu,National Museum of Singapore,1318,3
121388362246,Goldman Sachs,These ads ran without a disclaimer,1311,2
109839975746747,WILD RICE,WILD RICE,1309,4
105995908175747,Canninghill Piers,These ads ran without a disclaimer,1304,4
106736951575265,Wclub9,These ads ran without a disclaimer,1297,1
100209065727674,SGRealProperty,Nicolas Soh Chye Jyieh,1291,291
100854498404216,Andrew Melville,These ads ran without a disclaimer,1256,8
2547423648603867,Energy Tracker Asia,These ads ran without a disclaimer,1256,80
142185099134114,Citi Singapore,These ads ran without a disclaimer,1243,6
1688415878083678,Beanstalk ECDA,Beanstalk Singapore,1228,59
592308557475467,Mothership,These ads ran without a disclaimer,1224,12
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,1220,18
109608284821977,SG Dream Homes,Heng Sio Leng,1220,98
102432445505325,State.Io,These ads ran without a disclaimer,1214,3
367702016622649,Prudential Singapore,These ads ran without a disclaimer,1213,13
7783116506,Animals Asia,These ads ran without a disclaimer,1212,241
147858757571,TODAY,These ads ran without a disclaimer,1207,5
1822332194659819,Infinit Assets,Ong Han Yang,1206,30
104598959580247,MeWatch 中文版,These ads ran without a disclaimer,1201,4
103374438155099,SG Educators Scholarships,"Chin E-wen, Joel",1199,30
104031968127500,Empowering the Future of Energy at MyTengah,OOm Pte Ltd,1198,11
119241174807079,NTUC LearningHub,These ads ran without a disclaimer,1186,7
1780013892318908,"School of Humanities, NTU Singapore",NTU School of Humanities,1178,5
626687907492630,MOSG,MOSG,1176,2
128672916052708,SG New Homes,Gay Siew Hui Pauline,1166,245
529302337415538,Singapore Properties 365,Ong Han Yang,1161,19
151405678864363,全民Party,These ads ran without a disclaimer,1160,26
112245993530285,Ease Healthcare,These ads ran without a disclaimer,1143,6
73890411249,Halogen Singapore,Halogen Foundation Singapore,1130,2
149748391870478,Herohomes.sg,These ads ran without a disclaimer,1120,2
127186553962631,President's Challenge,National Council of Social Service,1120,2
2352520138328887,BigBrand Satay & Grill,Loo Lian Wee,1120,6
520262228354927,Sembcorp Energy Singapore,These ads ran without a disclaimer,1119,5
